"cohort_month","month_number","cohort_customers","active_customers","pct_retained"
"2009-12-01 00:00:00.000","0","955","955","100.0"
"2009-12-01 00:00:00.000","1","955","337","35.29"
"2009-12-01 00:00:00.000","2","955","319","33.4"
"2009-12-01 00:00:00.000","3","955","406","42.51"
"2009-12-01 00:00:00.000","4","955","363","38.01"
"2009-12-01 00:00:00.000","5","955","343","35.92"
"2009-12-01 00:00:00.000","6","955","360","37.7"
"2009-12-01 00:00:00.000","7","955","327","34.24"
"2009-12-01 00:00:00.000","8","955","321","33.61"
"2009-12-01 00:00:00.000","9","955","346","36.23"
"2009-12-01 00:00:00.000","10","955","403","42.2"
"2009-12-01 00:00:00.000","11","955","473","49.53"
"2009-12-01 00:00:00.000","12","955","359","37.59"
"2009-12-01 00:00:00.000","13","955","270","28.27"
"2009-12-01 00:00:00.000","14","955","233","24.4"
"2009-12-01 00:00:00.000","15","955","289","30.26"
"2009-12-01 00:00:00.000","16","955","251","26.28"
"2009-12-01 00:00:00.000","17","955","289","30.26"
"2009-12-01 00:00:00.000","18","955","270","28.27"
"2009-12-01 00:00:00.000","19","955","248","25.97"
"2009-12-01 00:00:00.000","20","955","244","25.55"
"2009-12-01 00:00:00.000","21","955","301","31.52"
"2009-12-01 00:00:00.000","22","955","291","30.47"
"2009-12-01 00:00:00.000","23","955","389","40.73"
"2009-12-01 00:00:00.000","24","955","188","19.69"
"2010-01-01 00:00:00.000","0","383","383","100.0"
"2010-01-01 00:00:00.000","1","383","79","20.63"
"2010-01-01 00:00:00.000","2","383","119","31.07"
"2010-01-01 00:00:00.000","3","383","117","30.55"
"2010-01-01 00:00:00.000","4","383","101","26.37"
"2010-01-01 00:00:00.000","5","383","115","30.03"
"2010-01-01 00:00:00.000","6","383","99","25.85"
"2010-01-01 00:00:00.000","7","383","88","22.98"
"2010-01-01 00:00:00.000","8","383","107","27.94"
"2010-01-01 00:00:00.000","9","383","122","31.85"
"2010-01-01 00:00:00.000","10","383","116","30.29"
"2010-01-01 00:00:00.000","11","383","66","17.23"
"2010-01-01 00:00:00.000","12","383","85","22.19"
"2010-01-01 00:00:00.000","13","383","68","17.75"
"2010-01-01 00:00:00.000","14","383","72","18.8"
"2010-01-01 00:00:00.000","15","383","58","15.14"
"2010-01-01 00:00:00.000","16","383","90","23.5"
"2010-01-01 00:00:00.000","17","383","76","19.84"
"2010-01-01 00:00:00.000","18","383","71","18.54"
"2010-01-01 00:00:00.000","19","383","75","19.58"
"2010-01-01 00:00:00.000","20","383","93","24.28"
"2010-01-01 00:00:00.000","21","383","74","19.32"
"2010-01-01 00:00:00.000","22","383","94","24.54"
"2010-01-01 00:00:00.000","23","383","22","5.74"
"2010-02-01 00:00:00.000","0","374","374","100.0"
"2010-02-01 00:00:00.000","1","374","89","23.8"
"2010-02-01 00:00:00.000","2","374","84","22.46"
"2010-02-01 00:00:00.000","3","374","109","29.14"
"2010-02-01 00:00:00.000","4","374","92","24.6"
"2010-02-01 00:00:00.000","5","374","75","20.05"
"2010-02-01 00:00:00.000","6","374","72","19.25"
"2010-02-01 00:00:00.000","7","374","107","28.61"
"2010-02-01 00:00:00.000","8","374","95","25.4"
"2010-02-01 00:00:00.000","9","374","103","27.54"
"2010-02-01 00:00:00.000","10","374","43","11.5"
"2010-02-01 00:00:00.000","11","374","47","12.57"
"2010-02-01 00:00:00.000","12","374","57","15.24"
"2010-02-01 00:00:00.000","13","374","65","17.38"
"2010-02-01 00:00:00.000","14","374","46","12.3"
"2010-02-01 00:00:00.000","15","374","75","20.05"
"2010-02-01 00:00:00.000","16","374","60","16.04"
