"activity_day","mau"
"2024-01-03 00:00:00.000","22"
"2024-01-04 00:00:00.000","59"
"2024-01-05 00:00:00.000","109"
"2024-01-06 00:00:00.000","145"
"2024-01-07 00:00:00.000","164"
"2024-01-08 00:00:00.000","171"
"2024-01-09 00:00:00.000","211"
"2024-01-10 00:00:00.000","254"
"2024-01-11 00:00:00.000","298"
"2024-01-12 00:00:00.000","339"
"2024-01-13 00:00:00.000","381"
"2024-01-14 00:00:00.000","402"
"2024-01-15 00:00:00.000","422"
"2024-01-16 00:00:00.000","463"
"2024-01-17 00:00:00.000","497"
"2024-01-18 00:00:00.000","533"
"2024-01-19 00:00:00.000","583"
"2024-01-20 00:00:00.000","612"
"2024-01-21 00:00:00.000","630"
"2024-01-22 00:00:00.000","645"
"2024-01-23 00:00:00.000","685"
"2024-01-24 00:00:00.000","720"
"2024-01-25 00:00:00.000","761"
"2024-01-26 00:00:00.000","797"
"2024-01-27 00:00:00.000","833"
"2024-01-28 00:00:00.000","854"
"2024-01-29 00:00:00.000","867"
"2024-01-30 00:00:00.000","911"
"2024-01-31 00:00:00.000","946"
"2024-02-01 00:00:00.000","996"
"2024-02-02 00:00:00.000","1036"
"2024-02-03 00:00:00.000","1066"
"2024-02-04 00:00:00.000","1049"
"2024-02-05 00:00:00.000","1038"
"2024-02-06 00:00:00.000","1049"
"2024-02-07 00:00:00.000","1078"
"2024-02-08 00:00:00.000","1091"
"2024-02-09 00:00:00.000","1106"
"2024-02-10 00:00:00.000","1114"
"2024-02-11 00:00:00.000","1100"
"2024-02-12 00:00:00.000","1084"
"2024-02-13 00:00:00.000","1094"
"2024-02-14 00:00:00.000","1110"
"2024-02-15 00:00:00.000","1129"
"2024-02-16 00:00:00.000","1139"
"2024-02-17 00:00:00.000","1147"
"2024-02-18 00:00:00.000","1128"
"2024-02-19 00:00:00.000","1104"
"2024-02-20 00:00:00.000","1122"
"2024-02-21 00:00:00.000","1137"
"2024-02-22 00:00:00.000","1142"
"2024-02-23 00:00:00.000","1145"
"2024-02-24 00:00:00.000","1157"
"2024-02-25 00:00:00.000","1144"
"2024-02-26 00:00:00.000","1136"
"2024-02-27 00:00:00.000","1136"
"2024-02-28 00:00:00.000","1146"
"2024-02-29 00:00:00.000","1173"
"2024-03-01 00:00:00.000","1186"
"2024-03-02 00:00:00.000","1192"
"2024-03-03 00:00:00.000","1173"
"2024-03-04 00:00:00.000","1149"
"2024-03-05 00:00:00.000","1174"
"2024-03-06 00:00:00.000","1180"
"2024-03-07 00:00:00.000","1193"
"2024-03-08 00:00:00.000","1202"
"2024-03-09 00:00:00.000","1201"
"2024-03-10 00:00:00.000","1189"
"2024-03-11 00:00:00.000","1185"
"2024-03-12 00:00:00.000","1188"
"2024-03-13 00:00:00.000","1198"
"2024-03-14 00:00:00.000","1208"
"2024-03-15 00:00:00.000","1221"
"2024-03-16 00:00:00.000","1235"
"2024-03-17 00:00:00.000","1213"
"2024-03-18 00:00:00.000","1195"
"2024-03-19 00:00:00.000","1202"
"2024-03-20 00:00:00.000","1211"
"2024-03-21 00:00:00.000","1236"
"2024-03-22 00:00:00.000","1238"
