"activity_week","dau_promedio_semana","mau_promedio_semana","stickiness_pct_promedio"
"2024-01-01 00:00:00.000","68.8","99.8","105.4"
"2024-01-08 00:00:00.000","98.3","293.7","35.95"
"2024-01-15 00:00:00.000","94.0","534.3","18.04"
"2024-01-22 00:00:00.000","93.7","756.4","12.57"
"2024-01-29 00:00:00.000","105.1","981.6","10.74"
"2024-02-05 00:00:00.000","109.0","1082.3","10.07"
"2024-02-12 00:00:00.000","116.9","1118.7","10.44"
"2024-02-19 00:00:00.000","114.0","1135.9","10.04"
"2024-02-26 00:00:00.000","120.1","1163.1","10.33"
"2024-03-04 00:00:00.000","112.6","1184.0","9.52"
"2024-03-11 00:00:00.000","118.7","1206.9","9.84"
"2024-03-18 00:00:00.000","122.6","1223.1","10.01"
"2024-03-25 00:00:00.000","122.9","1240.9","9.9"
"2024-04-01 00:00:00.000","56.9","1146.0","4.9"
"2024-04-08 00:00:00.000","32.0","917.0","3.47"
"2024-04-15 00:00:00.000","27.4","683.0","4.01"
"2024-04-22 00:00:00.000","22.1","461.6","4.82"
"2024-04-29 00:00:00.000","20.4","251.1","8.33"
"2024-05-06 00:00:00.000","15.1","177.4","8.49"
"2024-05-13 00:00:00.000","11.6","148.6","7.69"
"2024-05-20 00:00:00.000","11.1","124.9","8.88"
"2024-05-27 00:00:00.000","6.3","107.6","5.82"
"2024-06-03 00:00:00.000","5.4","89.9","6.03"
"2024-06-10 00:00:00.000","2.7","68.7","3.87"
"2024-06-17 00:00:00.000","2.0","56.2","3.51"
"2024-06-24 00:00:00.000","1.0","41.0","2.45"
