cohort_month,month_number,active_customers,cohort_customers,pct_retained
2009-12,0,955,955,100.0
2009-12,1,337,955,35.29
2009-12,2,319,955,33.4
2009-12,3,406,955,42.51
2009-12,4,363,955,38.01
2009-12,5,343,955,35.92
2009-12,6,360,955,37.7
2009-12,7,327,955,34.24
2009-12,8,321,955,33.61
2009-12,9,346,955,36.23
2009-12,10,403,955,42.2
2009-12,11,473,955,49.53
2009-12,12,359,955,37.59
2009-12,13,270,955,28.27
2009-12,14,233,955,24.4
2009-12,15,289,955,30.26
2009-12,16,251,955,26.28
2009-12,17,289,955,30.26
2009-12,18,270,955,28.27
2009-12,19,248,955,25.97
2009-12,20,244,955,25.55
2009-12,21,301,955,31.52
2009-12,22,291,955,30.47
2009-12,23,389,955,40.73
2009-12,24,188,955,19.69
2010-01,0,383,383,100.0
2010-01,1,79,383,20.63
2010-01,2,119,383,31.07
2010-01,3,117,383,30.55
2010-01,4,101,383,26.37
2010-01,5,115,383,30.03
2010-01,6,99,383,25.85
2010-01,7,88,383,22.98
2010-01,8,107,383,27.94
2010-01,9,122,383,31.85
2010-01,10,116,383,30.29
2010-01,11,66,383,17.23
2010-01,12,85,383,22.19
2010-01,13,68,383,17.75
2010-01,14,72,383,18.8
2010-01,15,58,383,15.14
2010-01,16,90,383,23.5
2010-01,17,76,383,19.84
2010-01,18,71,383,18.54
2010-01,19,75,383,19.58
2010-01,20,93,383,24.28
2010-01,21,74,383,19.32
2010-01,22,94,383,24.54
2010-01,23,22,383,5.74
2010-02,0,374,374,100.0
2010-02,1,89,374,23.8
2010-02,2,84,374,22.46
2010-02,3,109,374,29.14
2010-02,4,92,374,24.6
2010-02,5,75,374,20.05
2010-02,6,72,374,19.25
2010-02,7,107,374,28.61
2010-02,8,95,374,25.4
2010-02,9,103,374,27.54
2010-02,10,43,374,11.5
2010-02,11,47,374,12.57
2010-02,12,57,374,15.24
2010-02,13,65,374,17.38
2010-02,14,46,374,12.3
2010-02,15,75,374,20.05
2010-02,16,60,374,16.04
2010-02,17,61,374,16.31
2010-02,18,54,374,14.44
2010-02,19,86,374,22.99
2010-02,20,86,374,22.99
2010-02,21,61,374,16.31
2010-02,22,22,374,5.88
2010-03,0,443,443,100.0
2010-03,1,84,443,18.96
2010-03,2,102,443,23.02
2010-03,3,107,443,24.15
2010-03,4,103,443,23.25
2010-03,5,90,443,20.32
2010-03,6,109,443,24.6
2010-03,7,134,443,30.25
2010-03,8,122,443,27.54
2010-03,9,48,443,10.84
2010-03,10,51,443,11.51
2010-03,11,63,443,14.22
2010-03,12,89,443,20.09
2010-03,13,72,443,16.25
