activity_week,dau_promedio_semana,mau_promedio_semana,stickiness_pct_promedio
2024-01-01/2024-01-07,61.0,83.17,105.4
2024-01-08/2024-01-14,98.29,293.71,35.95
2024-01-15/2024-01-21,94.0,534.29,18.04
2024-01-22/2024-01-28,93.71,756.43,12.57
2024-01-29/2024-02-04,105.14,981.57,10.74
2024-02-05/2024-02-11,109.0,1082.29,10.07
2024-02-12/2024-02-18,116.86,1118.71,10.44
2024-02-19/2024-02-25,114.0,1135.86,10.04
2024-02-26/2024-03-03,120.14,1163.14,10.33
2024-03-04/2024-03-10,112.57,1184.0,9.52
2024-03-11/2024-03-17,118.71,1206.86,9.84
2024-03-18/2024-03-24,122.57,1223.14,10.01
2024-03-25/2024-03-31,122.86,1240.86,9.9
2024-04-01/2024-04-07,56.86,1146.0,4.9
2024-04-08/2024-04-14,32.0,917.0,3.47
2024-04-15/2024-04-21,27.43,683.0,4.01
2024-04-22/2024-04-28,22.14,461.57,4.82
2024-04-29/2024-05-05,20.43,251.14,8.33
2024-05-06/2024-05-12,15.14,177.43,8.49
2024-05-13/2024-05-19,11.57,148.57,7.69
2024-05-20/2024-05-26,11.14,124.86,8.88
2024-05-27/2024-06-02,6.29,107.57,5.82
2024-06-03/2024-06-09,5.43,89.86,6.03
2024-06-10/2024-06-16,2.71,68.71,3.87
2024-06-17/2024-06-23,1.43,55.14,2.51
2024-06-24/2024-06-30,0.75,40.25,1.84
